source_id,license_name,license_class,redistribution_allowed,shipping_allowed,attribution_required,license_url,review_notes
holldobler-wilson-1990-the-ants,Publisher copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wehner-2020-desert-navigator,Publisher copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wehner-1981-spatial-vision,Publisher copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
buehlmann-2013-multimodal-navigation-thesis,No redistribution license verified,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
grob-2022-learning-walks-thesis,CC BY-SA 4.0 for thesis; included papers may differ,REDISTRIBUTABLE_RESEARCH_ONLY,true,false,true,https://creativecommons.org/licenses/by-sa/4.0/,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
huber-2018-cataglyphis-navigation-thesis,No redistribution license verified,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
fleischmann-2018-early-foraging-thesis,Repository access; exact redistribution terms not reverified,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
wild-2004-linepithema-taxonomy,Publisher copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
antweb-2026-about-license,Creative Commons Attribution for AntWeb content; item-level exceptions,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://www.antweb.org/about.do,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
antweb-2026-api,AntWeb content CC Attribution; API data subject to AntWeb terms,REDISTRIBUTABLE_AND_SHIPPABLE,true,true,true,https://www.antweb.org/about.do,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
msstate-linepithema-humile,Website terms not verified for redistribution,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
zollikofer-1994-speed-curvature,The Company of Biologists copyright,REFERENCE_ONLY,false,false,false,,"Classification is conservative and applies only to this cataloged source. Linked datasets, figures, images, supplements, and included papers require their own item-level review."
